year,md,lower,upper,region
2004,34,28.5,35.5,West Midlands
2005,27,24,35,West Midlands
2006,27,23,32,West Midlands
2007,30,26,36,West Midlands
2008,29,25,35.25,West Midlands
2009,30,26,36,West Midlands
2010,33,27,39,West Midlands
2011,34,29,38.25,West Midlands
2012,36,31,41,West Midlands
2013,34,30,40,West Midlands
2014,35,30,40,West Midlands
2015,37,31,41,West Midlands
2016,37,31,40,West Midlands
2017,36,31,44,West Midlands
2018,38,33,42,West Midlands
2019,39,34,45,West Midlands
1990,24,21,27,Yorkshire & Humber
1991,26,23.5,34.5,Yorkshire & Humber
1992,24,23,26.5,Yorkshire & Humber
1993,22,20.5,29,Yorkshire & Humber
1994,26,22.5,27.5,Yorkshire & Humber
2001,29.5,26.75,34.25,Yorkshire & Humber
2002,31.5,27.5,35.5,Yorkshire & Humber
2003,30,26,34,Yorkshire & Humber
2004,30,25.75,35,Yorkshire & Humber
2005,30,25,35,Yorkshire & Humber
2006,30,27,35,Yorkshire & Humber
2007,33,27,37,Yorkshire & Humber
2008,32.5,28,38,Yorkshire & Humber
2009,32,29,40,Yorkshire & Humber
2010,34,30,40,Yorkshire & Humber
2011,36,31,41,Yorkshire & Humber
2012,35,29,39,Yorkshire & Humber
2013,35,30,40,Yorkshire & Humber
2014,37,32,42,Yorkshire & Humber
2015,37,34,42,Yorkshire & Humber
2016,38,34,43,Yorkshire & Humber
2017,39,35,45,Yorkshire & Humber
2018,40,35,44,Yorkshire & Humber
2019,40,35,45,Yorkshire & Humber
1990,26,23,31,England
1991,27,24,33,England
1992,27,24,32,England
1993,28,24,33,England
1994,28,24,33,England
1995,29,25,34,England
1996,29,25,34,England
1997,29,24,34,England
1998,29,24,34,England
1999,29,24,34,England
2000,29,24,34,England
2001,29,24,35,England
2002,31,26,37,England
2003,31,26,37,England
2004,31,26,37,England
2005,32,26,37.5,England
2006,32,26,38,England
2007,31,26,37,England
2008,32,27,38,England
2009,33,27,39,England
2010,34,28,40,England
2011,35,29,41,England
2012,35,29,41,England
2013,35,30,41,England
2014,36,31,42,England
2015,37,32,44,England
2016,38,33,44,England
2017,38,33,45,England
2018,39,34,45,England
2019,39,34,45,England
